branch,rep,NOE,pvalue,ICE,ICEnorm
A,0,0.05287500000000005,0.42,-2.4475405130014073e-21,0.11984638605314722
B,0,-0.01587499999999995,0.58,6.9929728942897355e-22,0.13134472772060551
C,0,0.06350000000000003,0.28,2.214441416525083e-21,0.12773519972975342
D,0,-0.04399999999999998,0.66,-2.097891868286921e-21,0.11932636443804026
A,1,-0.14812499999999998,0.9,-6.759873797813411e-21,0.1256276741008923
B,1,0.07625000000000004,0.14,-3.2633873506685435e-21,0.14138975387205396
C,1,-0.061249999999999985,0.7,-9.149139536695737e-21,0.12716917865583624
D,1,0.03312500000000004,0.24,-2.7971891577158942e-21,0.11317837138782304
A,2,-0.04399999999999996,0.34,2.3309909647632453e-21,0.12495936839629113
B,2,-0.016499999999999952,0.44,9.323963859052981e-21,0.12651148663263742
C,2,0.025375000000000036,0.22,5.5943783154317884e-21,0.12878822248171606
D,2,0.10537500000000005,0.0,-4.895081026002815e-21,0.130752629036666
A,3,-0.08474999999999996,0.8,4.6619819295264906e-21,0.12496487006355025
B,3,0.008375000000000042,0.5,-6.526774701337087e-21,0.12564197646487418
C,3,0.16587500000000002,0.02,-7.22607199076606e-21,0.1427381781444614
D,3,-0.024749999999999973,0.58,-8.624666569624007e-21,0.14687303190170753
A,4,-0.0012499999999999734,0.46,-1.6316936753342717e-21,0.12628662834995635
B,4,-0.09124999999999998,0.94,-6.293675604860762e-21,0.11601400777492345
C,4,-0.09124999999999997,0.94,-1.0023261148481954e-20,0.12389650418797135
D,4,0.1,0.24,-3.729585543621192e-21,0.13106904192066104
A,5,-0.10837499999999997,0.96,-1.3985945788579472e-20,0.12536745989290843
B,5,-0.011499999999999972,0.7,-1.0139810696720117e-20,0.1293975221942059
C,5,0.06537500000000003,0.42,-8.158468376671359e-21,0.1365265541936806
D,5,0.06787500000000005,0.24,-1.1305306179101739e-20,0.12737420264716087
A,6,-0.06762499999999996,0.88,-2.4475405130014073e-21,0.11703418304068261
B,6,-0.10387499999999997,0.96,-1.0023261148481954e-20,0.1092208199017019
C,6,0.05300000000000003,0.46,-1.23542521132452e-20,0.1175563694573799
D,6,0.11425000000000005,0.3,-3.61303599538303e-21,0.12685609465059217
A,7,0.12012500000000005,0.08,-1.6316936753342717e-21,0.14870881782866813
B,7,-0.05924999999999996,0.72,-4.312333284812003e-21,0.130904067927624
C,7,-0.032999999999999974,0.64,-1.1654954823816226e-21,0.12921010022440196
D,7,-0.012999999999999942,0.48,5.1281801224791395e-21,0.14308410987946915
A,8,-0.041874999999999954,0.5,1.3985945788579471e-21,0.12344938233948359
B,8,0.12625,0.06,-1.3985945788579471e-21,0.14452530055322493
C,8,-0.1325,0.94,2.330990964763245e-22,0.1322157328006013
D,8,-0.09499999999999997,0.9,5.710927863669951e-21,0.1203441679102066
A,9,-0.010749999999999968,0.36,-4.66198192952649e-22,0.12235718716119622
B,9,0.03675000000000002,0.26,-2.7971891577158942e-21,0.1345531958000255
C,9,0.07050000000000003,0.12,2.7971891577158942e-21,0.13236915709484592
D,9,-0.087,0.72,-2.330990964763245e-22,0.1307712697804835
A,10,-0.052374999999999956,0.62,-6.9929728942897355e-22,0.12009748644330573
B,10,-0.003624999999999965,0.44,-5.5943783154317884e-21,0.13303183359632387
C,10,0.05762500000000004,0.18,-3.496486447144868e-21,0.13735321710830076
D,10,0.015750000000000024,0.34,-4.6619819295264906e-21,0.13878704460431457
A,11,0.03550000000000003,0.4,2.330990964763245e-22,0.14519652630142363
B,11,-0.05512499999999997,0.74,6.1771260566226e-21,0.11965902076316687
C,11,-0.08699999999999997,0.86,-1.1654954823816226e-21,0.12971904736776324
D,11,0.11987500000000001,0.12,5.244729670717302e-21,0.12750796543745804
A,12,-0.002874999999999961,0.36,3.496486447144868e-21,0.13256531409082845
B,12,0.039000000000000035,0.28,-1.5151441270961093e-21,0.14873991562455588
C,12,-0.03412499999999996,0.56,2.9137387059540566e-21,0.13201964815890097
D,12,0.026500000000000044,0.28,-5.244729670717302e-21,0.13724111993130922
A,13,-0.19574999999999998,0.98,-3.962684640097517e-21,0.11545940845162857
B,13,0.044875000000000054,0.42,6.9929728942897355e-22,0.13981662097190017
C,13,0.04425000000000004,0.38,-1.3985945788579471e-21,0.12566485686141532
D,13,0.053000000000000005,0.36,-7.459171087242384e-21,0.12057000041469687
A,14,0.10025000000000002,0.14,2.330990964763245e-22,0.13276883105608783
B,14,0.07337500000000002,0.2,4.428882833050166e-21,0.12212276098254576
C,14,0.012125000000000035,0.54,-2.680639609477732e-21,0.14233345530830058
D,14,-0.08849999999999997,0.82,-4.66198192952649e-22,0.13128237695898104
A,15,0.09675000000000003,0.1,-2.7971891577158942e-21,0.138749774774592
B,15,-0.08449999999999996,0.9,-1.3985945788579471e-21,0.12332920882743066
C,15,-0.14637499999999998,1.0,-8.624666569624007e-21,0.13825
D,15,0.09175000000000003,0.16,-3.729585543621192e-21,0.1336673810246913
A,16,-0.14849999999999997,0.98,-2.330990964763245e-22,0.12245968724441526
B,16,0.055875000000000015,0.24,-1.3985945788579471e-21,0.1417186914277718
C,16,0.04962500000000003,0.36,9.32396385905298e-22,0.13399615199698836
D,16,-0.10224999999999998,0.9,-4.66198192952649e-22,0.1255573822998871
A,17,-0.10274999999999998,0.86,3.962684640097517e-21,0.1272040683311662
B,17,0.03287500000000001,0.4,9.32396385905298e-22,0.14553436020404253
C,17,0.01975000000000001,0.38,1.864792771810596e-21,0.13237175397342138
D,17,0.031625000000000035,0.38,-3.496486447144868e-21,0.12692739066096018
A,18,-0.027124999999999972,0.96,-3.729585543621192e-21,0.12131390068743154
B,18,-0.022749999999999992,0.82,-2.5640900612395697e-21,0.130262475410227
C,18,-0.08775,0.98,-9.090864762576656e-21,0.12231312276284993
D,18,0.14100000000000001,0.26,-7.459171087242384e-21,0.1344672357862688
A,19,-0.06549999999999995,0.64,7.459171087242384e-21,0.12603236191550168
B,19,0.03325000000000004,0.26,1.864792771810596e-21,0.1340869587245531
C,19,-0.06674999999999996,0.58,2.5640900612395697e-21,0.1299679046918892
D,19,0.14450000000000005,0.0,6.526774701337087e-21,0.13365919814962232
A,20,0.04187500000000004,0.24,6.1771260566226e-21,0.14270325416752067
B,20,-0.014999999999999954,0.6,3.4964864471448678e-22,0.1215974403513495
C,20,-0.05874999999999997,0.52,2.9137387059540566e-21,0.12907059599304563
D,20,-0.051249999999999976,0.6,-2.360128351822786e-21,0.13200793063297372
A,21,-0.004249999999999948,0.46,-4.079234188335679e-21,0.13679512509588926
B,21,-0.07862499999999996,0.78,-4.895081026002815e-21,0.12059202917274425
C,21,-0.15299999999999997,0.96,1.864792771810596e-21,0.12802563219918112
D,21,0.17575000000000002,0.04,-6.293675604860762e-21,0.13161116973874215
A,22,-0.057249999999999975,0.42,8.158468376671359e-22,0.1225965180990064
B,22,0.04400000000000005,0.14,4.195783736573842e-21,0.12014145308760006
C,22,-0.020374999999999956,0.32,1.864792771810596e-21,0.12053098667977462
D,22,-0.08787499999999995,0.76,-2.5640900612395697e-21,0.12649629441212892
A,23,-0.046124999999999965,0.8,-8.624666569624007e-21,0.12323985759485444
B,23,-0.04424999999999997,0.78,-8.158468376671359e-21,0.12055768847319527
C,23,-0.04799999999999996,0.7,-4.428882833050166e-21,0.13442737351447434
D,23,0.08075000000000004,0.22,-1.3519747595626822e-20,0.13478779618348244
A,24,-0.0068749999999999645,0.8,-9.79016205200563e-21,0.12578242623673627
B,24,-0.048749999999999995,0.9,-1.1421855727339902e-20,0.12720849028268516
C,24,-0.03937499999999998,0.8,-1.3985945788579472e-20,0.1180636745574184
D,24,0.020625000000000025,0.52,-1.3053549402674174e-20,0.12397000645317399
A,25,-0.04762499999999997,0.82,8.158468376671359e-21,0.12200486670620973
B,25,0.03987500000000005,0.14,0.0,0.12873555744237875
C,25,0.027375000000000052,0.4,-5.1281801224791395e-21,0.13324331596744357
D,25,-0.007624999999999972,0.4,-6.1771260566226e-21,0.13762221840967395
A,26,-0.07137499999999994,0.8,-1.1654954823816226e-21,0.1167569591073697
B,26,-0.05949999999999994,0.54,-9.32396385905298e-22,0.1322007233338759
C,26,-0.00137499999999997,0.14,1.864792771810596e-21,0.12389133343377977
D,26,0.05112500000000004,0.06,-2.5640900612395697e-21,0.13977660748494364
A,27,0.13400000000000004,0.0,-8.158468376671359e-21,0.14174735447266734
B,27,-0.05349999999999996,0.42,-3.729585543621192e-21,0.13901315135626557
C,27,-0.05912499999999998,0.38,-5.827477411908113e-22,0.12449887047680393
D,27,-0.07162499999999997,0.5,4.66198192952649e-22,0.13158813586338247
A,28,0.06875000000000002,0.1,4.66198192952649e-22,0.13676165398239376
B,28,4.85722573273506e-17,0.4,-4.66198192952649e-22,0.13672223209851425
C,28,-0.09625,0.7,1.9813423200487584e-21,0.1288810013151667
D,28,-0.08249999999999996,0.54,8.158468376671359e-22,0.1208065343845274
A,29,-0.13174999999999998,0.72,6.9929728942897355e-22,0.12076035152317172
B,29,0.150125,0.0,9.32396385905298e-22,0.1335539450933592
C,29,-0.09674999999999999,0.62,1.6316936753342717e-21,0.1228913391984968
D,29,0.10325000000000004,0.02,3.729585543621192e-21,0.13134734485325542
